activity_date,type,duration_minutes,distance_km,heart_rate,calories,cadence,weather_type,temperature_c,humidity_percent,source_activity_id,activity_name
2026-06-15,run,56,9.329,151,708,66,,34.0,0,18935311871,Afternoon Run
2026-06-13,bike,44,10.084,134,352,,,25.3,0,18902871911,Into the Drink
2026-06-11,run,40,7.07,151,552,69,,22.9,0,18876179929,Morning Run
2026-06-09,bike,50,12.786,131,465,,,29.2,0,18859281445,Evening Ride
2026-06-08,run,43,7.522,163,565,65,cloudy,30.8,0,18842727635,Soccer Dads
2026-06-06,run,53,10.579,158,735,71,,17.5,0,18809365484,Hell Hole 10k 2026
2026-06-04,bike,21,7.236,125,190,,sunny,23.2,0,18777520830,Evening Ride
2026-06-02,run,9,1.637,149,122,68,sunny,26.6,0,18762076702,Jog About
2026-06-02,run,20,3.199,135,231,63,sunny,26.6,0,18762031037,Easy Intervals
2026-05-31,run,6,1.104,159,78,70,cloudy,22.2,0,18728628507,Cool Down
2026-05-31,run,67,11.534,163,1054,67,cloudy,22.0,0,18728521602,Rivers Reach > Tuxbury > Clements Ferry Loop
2026-05-27,run,61,10.476,155,828,68,,26.2,0,18675331733,Snooping Paths Around Construction
2026-05-26,run,34,5.135,142,356,61,,30.5,0,18675325799,Midday Mistake
2026-05-25,bike,30,8.467,103,239,,rainy,26.8,0,18649373366,Weird and Wet
2026-05-20,run,33,5.798,149,401,65,sunny,14.0,0,18581922662,San Diego Creek
2026-05-19,run,55,8.683,149,727,66,sunny,12.3,0,18568361144,Seranno Ridge
2026-05-14,run,47,8.303,165,590,67,,,,18528688131,Afternoon Run
2026-05-12,run,41,7.519,147,586,69,,,,18528675067,Afternoon Run
2026-05-08,run,49,8.418,136,676,70,,,,18430047931,Afternoon Run
2026-05-06,run,47,7.237,142,584,68,,,,18405723858,Evening Run
2026-05-04,run,35,6.069,162,425,68,,,,18378386637,Evening Run
2026-05-03,bike,132,54.247,144,1536,,,,,18361962864,Morning Ride
2026-05-01,run,40,6.165,156,483,67,,,,18336341432,Lunch Run
2026-04-29,run,47,7.865,155,572,68,,,,18308759300,Lunch Run
2026-04-25,run,57,9.797,155,628,68,,,,18256689086,Tuxbury Trot
2026-04-24,run,18,3.057,147,206,67,,,,18244368305,Short run
2026-04-23,bike,18,5.33,111,371,,,,,18231027823,Afternoon Ride
2026-04-23,bike,16,5.104,147,134,,,,,18227090192,Dock to Dock
2026-04-20,run,39,6.635,152,472,68,,,,18189726980,Afternoon Run
2026-04-16,bike,10,2.88,120,78,,,,,18134116633,Riding to PT
2026-04-15,run,37,6.473,163,469,67,,,,18125065409,Soccer Dad
2026-04-14,bike,20,6.362,112,247,,,,,18108205091,Lunch
2026-04-13,run,41,6.826,156,531,66,,,,18097339858,Soccer Run
2026-04-12,bike,91,34.898,136,949,,,,,18081193320,Dirt Church
2026-04-01,run,30,5.165,164,375,67,,,,17943657962,Soccer Practice - rip soccer dads
2026-03-30,run,20,3.547,157,261,68,,,,17918053925,Evening Run
2026-03-29,run,37,6.389,155,500,69,,,,17905644456,Afternoon Run
2026-03-23,run,41,6.418,144,485,64,,,,17832969250,Afternoon Run
2026-03-20,run,29,5.085,163,362,68,,,,17795654469,5k Restarts
